Batter,Opponent,runs,balls_faced,innings,strike_rate
AN Ahmed,Kolkata Knight Riders,5,2,1,250.0
AN Ahmed,Mumbai Indians,1,1,1,100.0
AN Ahmed,Royal Challengers Bengaluru,18,13,1,138.46
AN Ahmed,Sunrisers Hyderabad,4,2,1,200.0
AN Ghosh,Mumbai Indians,0,1,1,0.0
AN Ghosh,Royal Challengers Bengaluru,7,7,1,100.0
AP Dole,Deccan Chargers,4,4,1,100.0
AP Dole,Mumbai Indians,30,18,1,166.67
AP Majumdar,Kolkata Knight Riders,17,22,1,77.27
AP Majumdar,Rajasthan Royals,39,28,2,139.29
AP Majumdar,Royal Challengers Bengaluru,31,26,1,119.23
AP Tare,Chennai Super Kings,39,33,5,118.18
AP Tare,Delhi Daredevils,39,28,3,139.29
AP Tare,Kings XI Punjab,45,29,4,155.17
AP Tare,Kolkata Knight Riders,34,35,4,97.14
AP Tare,Mumbai Indians,0,1,1,0.0
AP Tare,Rajasthan Royals,123,78,4,157.69
AP Tare,Rising Pune Supergiants,8,19,2,42.11
AP Tare,Royal Challengers Bengaluru,44,44,3,100.0
AP Tare,Sunrisers Hyderabad,7,5,1,140.0
AR Bawne,Kolkata Knight Riders,12,12,1,100.0
AR Patel,Chennai Super Kings,182,157,17,115.92
AR Patel,Delhi Daredevils,148,127,6,116.54
AR Patel,Gujarat Lions,40,22,4,181.82
AR Patel,Gujarat Titans,203,150,7,135.33
AR Patel,Kings XI Punjab,7,9,2,77.78
AR Patel,Kolkata Knight Riders,253,213,20,118.78
AR Patel,Lucknow Super Giants,128,77,6,166.23
AR Patel,Mumbai Indians,275,193,18,142.49
AR Patel,Punjab Kings,95,65,4,146.15
AR Patel,Rajasthan Royals,187,130,14,143.85
AR Patel,Rising Pune Supergiants,47,45,3,104.44
AR Patel,Royal Challengers Bengaluru,301,205,18,146.83
AR Patel,Sunrisers Hyderabad,209,164,15,127.44
AS Joseph,Chennai Super Kings,0,1,1,0.0
AS Joseph,Kings XI Punjab,15,13,1,115.38
AS Joseph,Kolkata Knight Riders,1,1,1,100.0
AS Joseph,Mumbai Indians,7,12,1,58.33
AS Joseph,Punjab Kings,4,5,1,80.0
AS Rajpoot,Chennai Super Kings,2,4,1,50.0
AS Rajpoot,Kolkata Knight Riders,7,5,1,140.0
AS Rajpoot,Mumbai Indians,8,18,3,44.44
AS Rajpoot,Royal Challengers Bengaluru,1,5,1,20.0
AS Rajpoot,Sunrisers Hyderabad,8,9,1,88.89
AS Raut,Chennai Super Kings,28,23,3,121.74
AS Raut,Deccan Chargers,37,28,3,132.14
AS Raut,Delhi Daredevils,11,13,1,84.62
AS Raut,Kings XI Punjab,27,26,3,103.85
AS Raut,Kolkata Knight Riders,34,32,3,106.25
AS Raut,Mumbai Indians,20,17,1,117.65
AS Raut,Royal Challengers Bengaluru,37,28,2,132.14
AS Roy,Chennai Super Kings,4,4,2,100.0
AS Roy,Delhi Capitals,9,10,3,90.0
AS Roy,Gujarat Titans,9,7,1,128.57
AS Roy,Lucknow Super Giants,0,3,2,0.0
AS Roy,Mumbai Indians,4,4,1,100.0
AS Roy,Punjab Kings,4,5,1,80.0
AS Roy,Rajasthan Royals,35,22,2,159.09
AS Roy,Sunrisers Hyderabad,13,9,2,144.44
AS Yadav,Chennai Super Kings,0,1,1,0.0
AS Yadav,Delhi Daredevils,12,7,1,171.43
AS Yadav,Kolkata Knight Riders,10,10,1,100.0
AS Yadav,Rajasthan Royals,16,9,1,177.78
AS Yadav,Royal Challengers Bengaluru,11,12,2,91.67
AT Carey,Chennai Super Kings,4,7,1,57.14
AT Carey,Mumbai Indians,14,9,1,155.56
AT Carey,Rajasthan Royals,14,13,1,107.69
AT Rayudu,Chennai Super Kings,320,259,17,123.55
AT Rayudu,Deccan Chargers,108,91,6,118.68
AT Rayudu,Delhi Capitals,176,135,9,130.37
AT Rayudu,Delhi Daredevils,447,323,16,138.39
AT Rayudu,Gujarat Lions,20,18,1,111.11
AT Rayudu,Gujarat Titans,93,59,4,157.63
AT Rayudu,Kings XI Punjab,378,291,18,129.9
AT Rayudu,Kochi Tuskers Kerala,53,33,1,160.61
AT Rayudu,Kolkata Knight Riders,446,356,21,125.28
AT Rayudu,Lucknow Super Giants,54,34,2,158.82
AT Rayudu,Mumbai Indians,328,253,14,129.64
AT Rayudu,Pune Warriors,92,96,5,95.83
AT Rayudu,Punjab Kings,95,66,4,143.94
AT Rayudu,Rajasthan Royals,377,294,20,128.23
AT Rayudu,Rising Pune Supergiants,66,76,5,86.84
AT Rayudu,Royal Challengers Bengaluru,724,584,24,123.97
AT Rayudu,Sunrisers Hyderabad,548,423,18,129.55
AU Rashid,Lucknow Super Giants,4,3,1,133.33
AU Rashid,Rajasthan Royals,17,12,1,141.67
AUK Pathan,Chennai Super Kings,14,5,1,280.0
AUK Pathan,Deccan Chargers,4,4,1,100.0
AUK Pathan,Kings XI Punjab,9,8,3,112.5
AUK Pathan,Kochi Tuskers Kerala,12,4,1,300.0
AUK Pathan,Mumbai Indians,0,2,1,0.0
