Batter,Kind,count
JC Buttler,lbw,9
JC Buttler,run out,5
JC Buttler,stumped,5
JD Ryder,bowled,7
JD Ryder,caught,17
JD Ryder,caught and bowled,1
JD Ryder,run out,2
JD Ryder,stumped,1
JD Unadkat,bowled,2
JD Unadkat,caught,8
JD Unadkat,caught and bowled,1
JD Unadkat,lbw,1
JD Unadkat,run out,4
JDP Oram,bowled,2
JDP Oram,caught,5
JDP Oram,caught and bowled,1
JDS Neesham,caught,7
JDS Neesham,caught and bowled,1
JDS Neesham,run out,1
JE Root,lbw,1
JE Taylor,run out,1
JEC Franklin,bowled,1
JEC Franklin,caught,10
JG Bethell,bowled,1
JG Bethell,caught,7
JG Bethell,caught and bowled,1
JH Kallis,bowled,16
JH Kallis,caught,60
JH Kallis,caught and bowled,1
JH Kallis,lbw,3
JH Kallis,run out,5
JJ Bumrah,bowled,1
JJ Bumrah,caught,5
JJ Bumrah,run out,2
JJ Roy,bowled,5
JJ Roy,caught,12
JJ Roy,caught and bowled,1
JJ Roy,stumped,1
JJ van der Wath,caught,1
JJ van der Wath,lbw,1
JL Denly,bowled,1
JL Pattinson,caught,1
JM Bairstow,bowled,12
JM Bairstow,caught,29
JM Bairstow,hit wicket,1
JM Bairstow,lbw,4
JM Bairstow,run out,2
JM Kemp,bowled,1
JM Kemp,stumped,1
JM Sharma,bowled,6
JM Sharma,caught,35
JM Sharma,caught and bowled,1
JM Sharma,lbw,5
JM Sharma,stumped,1
JO Holder,caught,23
JO Holder,lbw,1
JO Holder,run out,2
JP Duminy,bowled,10
JP Duminy,caught,30
JP Duminy,caught and bowled,3
JP Duminy,lbw,1
JP Duminy,run out,6
JP Duminy,stumped,1
JP Faulkner,bowled,6
JP Faulkner,caught,18
JP Faulkner,caught and bowled,1
JP Faulkner,run out,1
JP Inglis,bowled,3
JP Inglis,caught,9
JP Inglis,lbw,1
JP Inglis,stumped,1
JPR Scantlebury-Searles,caught,1
JR Hazlewood,run out,1
JR Hopes,caught,13
JR Hopes,lbw,2
JR Hopes,run out,1
JR Philippe,caught,2
JR Philippe,lbw,1
JR Philippe,stumped,1
Jaskaran Singh,caught,1
Joginder Sharma,bowled,1
Joginder Sharma,caught,1
Joginder Sharma,caught and bowled,1
Joginder Sharma,run out,1
K Goel,bowled,2
K Goel,caught,7
K Goel,lbw,1
K Goel,run out,4
K Goel,stumped,1
K Gowtham,caught,14
K Gowtham,lbw,1
K Gowtham,run out,3
K Kartikeya,caught,2
K Kartikeya,run out,2
K Rabada,bowled,6
K Rabada,caught,9
K Rabada,run out,4
K Rabada,stumped,1
KA Jamieson,caught,1
KA Jamieson,lbw,1
KA Jamieson,run out,3
