Batter,season,Phase,runs,balls_faced,fours,sixes,strike_rate,boundary_pct
AM Rahane,2015,Death,52,31,6,1,167.74,22.58
AM Rahane,2015,Middle,233,186,13,7,125.27,10.75
AM Rahane,2015,Powerplay,255,195,34,5,130.77,20.0
AM Rahane,2016,Death,30,17,2,2,176.47,23.53
AM Rahane,2016,Middle,235,171,20,4,137.43,14.04
AM Rahane,2016,Powerplay,214,190,32,3,112.63,18.42
AM Rahane,2017,Middle,135,116,9,3,116.38,10.34
AM Rahane,2017,Powerplay,247,207,26,6,119.32,15.46
AM Rahane,2018,Death,17,12,0,1,141.67,8.33
AM Rahane,2018,Middle,125,122,9,0,102.46,7.38
AM Rahane,2018,Powerplay,228,179,30,4,127.37,18.99
AM Rahane,2019,Death,17,15,0,0,113.33,0.0
AM Rahane,2019,Middle,142,98,10,4,144.9,14.29
AM Rahane,2019,Powerplay,234,172,35,5,136.05,23.26
AM Rahane,2020,Death,5,5,0,0,100.0,0.0
AM Rahane,2020,Middle,38,29,2,1,131.03,10.34
AM Rahane,2020,Powerplay,70,73,10,1,95.89,15.07
AM Rahane,2021,Powerplay,8,8,1,0,100.0,12.5
AM Rahane,2022,Middle,41,33,4,1,124.24,15.15
AM Rahane,2022,Powerplay,92,95,10,3,96.84,13.68
AM Rahane,2023,Death,33,9,3,3,366.67,66.67
AM Rahane,2023,Middle,168,120,9,6,140.0,12.5
AM Rahane,2023,Powerplay,125,60,12,7,208.33,31.67
AM Rahane,2024,Middle,97,82,7,2,118.29,10.98
AM Rahane,2024,Powerplay,145,114,17,5,127.19,19.3
AM Rahane,2025,Middle,152,137,8,5,110.95,9.49
AM Rahane,2025,Powerplay,238,127,28,15,187.4,33.86
AM Rahane,2026,Middle,133,92,5,7,144.57,13.04
AM Rahane,2026,Powerplay,202,156,20,11,129.49,19.87
AN Ahmed,2010,Death,4,7,0,0,57.14,0.0
AN Ahmed,2011,Death,18,13,1,1,138.46,15.38
AN Ahmed,2014,Death,4,1,1,0,400.0,100.0
AN Ahmed,2015,Death,10,5,2,0,200.0,40.0
AN Ghosh,2009,Middle,0,1,0,0,0.0,0.0
AN Ghosh,2009,Powerplay,7,7,1,0,100.0,14.29
AP Dole,2010,Death,32,19,3,1,168.42,21.05
AP Dole,2010,Middle,2,3,0,0,66.67,0.0
AP Majumdar,2012,Middle,66,61,3,2,108.2,8.2
AP Majumdar,2012,Powerplay,21,15,4,0,140.0,26.67
