Bowler,Opponent,runs_conceded,balls_bowled,overs,economy,wickets
AB McDonald,Delhi Daredevils,28,24,4.0,7.0,2
AB McDonald,Kings XI Punjab,49,48,8.0,6.12,4
AB McDonald,Kolkata Knight Riders,36,24,4.0,9.0,2
AB McDonald,Mumbai Indians,42,24,4.0,10.5,1
AB McDonald,Rajasthan Royals,17,12,2.0,8.5,0
AB McDonald,Royal Challengers Bengaluru,64,42,7.0,9.14,2
AC Gilchrist,Mumbai Indians,0,1,0.16666666666666666,0.0,1
AC Thomas,Chennai Super Kings,50,45,7.5,6.67,2
AC Thomas,Deccan Chargers,27,24,4.0,6.75,0
AC Thomas,Delhi Daredevils,72,66,11.0,6.55,3
AC Thomas,Kings XI Punjab,26,24,4.0,6.5,2
AC Thomas,Kochi Tuskers Kerala,31,18,3.0,10.33,1
AC Thomas,Kolkata Knight Riders,28,18,3.0,9.33,1
AC Thomas,Mumbai Indians,65,48,8.0,8.12,2
AC Thomas,Rajasthan Royals,27,24,4.0,6.75,1
AC Thomas,Royal Challengers Bengaluru,66,48,8.0,8.25,2
AC Voges,Chennai Super Kings,8,6,1.0,8.0,0
AC Voges,Deccan Chargers,9,12,2.0,4.5,0
AC Voges,Delhi Daredevils,8,6,1.0,8.0,0
AC Voges,Kings XI Punjab,12,12,2.0,6.0,0
AC Voges,Kolkata Knight Riders,20,12,2.0,10.0,0
AC Voges,Royal Challengers Bengaluru,17,6,1.0,17.0,0
AD Mascarenhas,Chennai Super Kings,26,20,3.3333333333333335,7.8,0
AD Mascarenhas,Delhi Daredevils,86,72,12.0,7.17,6
AD Mascarenhas,Kings XI Punjab,29,24,4.0,7.25,0
AD Mascarenhas,Kolkata Knight Riders,86,72,12.0,7.17,2
AD Mascarenhas,Mumbai Indians,34,24,4.0,8.5,2
AD Mascarenhas,Pune Warriors,47,48,8.0,5.88,6
AD Mascarenhas,Royal Challengers Bengaluru,20,24,4.0,5.0,3
AD Mascarenhas,Sunrisers Hyderabad,25,24,4.0,6.25,0
AD Mathews,Chennai Super Kings,73,42,7.0,10.43,1
AD Mathews,Deccan Chargers,49,48,8.0,6.12,2
AD Mathews,Delhi Daredevils,98,60,10.0,9.8,3
AD Mathews,Kings XI Punjab,130,108,18.0,7.22,4
AD Mathews,Kolkata Knight Riders,132,108,18.0,7.33,2
AD Mathews,Mumbai Indians,105,81,13.5,7.78,3
AD Mathews,Rajasthan Royals,206,150,25.0,8.24,4
AD Mathews,Royal Challengers Bengaluru,138,116,19.333333333333332,7.14,7
AD Mathews,Sunrisers Hyderabad,123,78,13.0,9.46,1
AD Russell,Chennai Super Kings,309,214,35.666666666666664,8.66,9
AD Russell,Deccan Chargers,39,24,4.0,9.75,0
AD Russell,Delhi Capitals,169,110,18.333333333333332,9.22,7
AD Russell,Delhi Daredevils,141,114,19.0,7.42,9
AD Russell,Gujarat Lions,16,18,3.0,5.33,1
AD Russell,Gujarat Titans,46,30,5.0,9.2,6
AD Russell,Kings XI Punjab,294,173,28.833333333333332,10.2,14
AD Russell,Kolkata Knight Riders,23,18,3.0,7.67,0
AD Russell,Lucknow Super Giants,140,72,12.0,11.67,6
AD Russell,Mumbai Indians,459,291,48.5,9.46,19
AD Russell,Punjab Kings,77,44,7.333333333333333,10.5,2
AD Russell,Rajasthan Royals,210,138,23.0,9.13,7
AD Russell,Rising Pune Supergiants,27,24,4.0,6.75,1
AD Russell,Royal Challengers Bengaluru,401,273,45.5,8.81,17
AD Russell,Sunrisers Hyderabad,405,263,43.833333333333336,9.24,25
AF Milne,Chennai Super Kings,21,24,4.0,5.25,2
AF Milne,Delhi Capitals,39,20,3.3333333333333335,11.7,0
AF Milne,Gujarat Lions,40,24,4.0,10.0,1
AF Milne,Kolkata Knight Riders,47,33,5.5,8.55,0
AF Milne,Mumbai Indians,28,12,2.0,14.0,0
AF Milne,Rising Pune Supergiants,60,48,8.0,7.5,2
AF Milne,Royal Challengers Bengaluru,47,24,4.0,11.75,1
AF Milne,Sunrisers Hyderabad,70,42,7.0,10.0,1
AG Murtaza,Delhi Daredevils,52,72,12.0,4.33,6
AG Murtaza,Kochi Tuskers Kerala,36,24,4.0,9.0,0
AG Murtaza,Kolkata Knight Riders,67,60,10.0,6.7,0
